"KW";"Monat";"Route";"Objekt";"Ort";"Leistung";"Kategorie";"Dauer"
"21";"5";"H07";"WSG-035";"Bülach";"Fensterreinigung";"SR";"43"
"21";"5";"H07";"WSG-066";"Regensdorf";"Fensterreinigung";"SR";"94"
"32";"8";"H07";"WSG-036";"Bülach";"Fensterreinigung";"SR";"36"
"32";"8";"H07";"WSG-120";"Zürich";"Fensterreinigung";"SR";"23"
"33";"8";"H07";"WSG-063";"Regensdorf";"Fensterreinigung";"SR";"95"
"34";"8";"H07";"WSG-035";"Bülach";"Fensterreinigung";"SR";"43"
"34";"8";"H07";"WSG-066";"Regensdorf";"Fensterreinigung";"SR";"94"
"45";"11";"H07";"WSG-036";"Bülach";"Fensterreinigung";"SR";"36"
"45";"11";"H07";"WSG-120";"Zürich";"Fensterreinigung";"SR";"23"
"46";"11";"H07";"WSG-063";"Regensdorf";"Fensterreinigung";"SR";"95"
"47";"11";"H07";"WSG-035";"Bülach";"Fensterreinigung";"SR";"43"
"47";"11";"H07";"WSG-066";"Regensdorf";"Fensterreinigung";"SR";"94"
"6";"2";"H08";"WSG-106";"Winterthur";"Fensterreinigung";"SR";"25"
"6";"2";"H08";"WSG-110";"Winterthur";"Fensterreinigung";"SR";"23"
"7";"2";"H08";"WSG-021";"Frauenfeld";"Fensterreinigung";"SR";"60"
"7";"2";"H08";"WSG-107";"Winterthur";"Fensterreinigung";"SR";"23"
"8";"2";"H08";"WSG-011";"Rapperswil-Jona";"Fensterreinigung";"SR";"53"
"8";"2";"H08";"WSG-109";"Winterthur";"Fensterreinigung";"SR";"24"
"19";"5";"H08";"WSG-106";"Winterthur";"Fensterreinigung";"SR";"25"
"19";"5";"H08";"WSG-110";"Winterthur";"Fensterreinigung";"SR";"23"
"20";"5";"H08";"WSG-021";"Frauenfeld";"Fensterreinigung";"SR";"60"
"20";"5";"H08";"WSG-107";"Winterthur";"Fensterreinigung";"SR";"23"
"21";"5";"H08";"WSG-011";"Rapperswil-Jona";"Fensterreinigung";"SR";"53"
"21";"5";"H08";"WSG-109";"Winterthur";"Fensterreinigung";"SR";"24"
"32";"8";"H08";"WSG-106";"Winterthur";"Fensterreinigung";"SR";"25"
"32";"8";"H08";"WSG-110";"Winterthur";"Fensterreinigung";"SR";"23"
"33";"8";"H08";"WSG-021";"Frauenfeld";"Fensterreinigung";"SR";"60"
"33";"8";"H08";"WSG-107";"Winterthur";"Fensterreinigung";"SR";"23"
