"Route";"Woche";"Tag";"Von";"Bis";"Dauer";"Art";"Kategorie";"Objekt";"Ort";"Leistungen"
"H01";"4";"Mi";"08:28";"08:31";"3";"Fahrt";"";"";"Kloten";""
"H01";"4";"Mi";"08:31";"11:59";"208";"Einsatz";"GU+UR";"WSG-054";"Kloten";"Entsorgung/Kehrichtdienst, Gartenpflege/Gruenunterhalt (Mrz-Nov), Sanitaerreinigung, Treppenhausreinigung, Umgebungsunterhalt (Wege/Vorplatz), Unterhaltsreinigung"
"H01";"4";"Mi";"11:59";"12:00";"1";"Fahrt";"";"";"Dübendorf";""
"H01";"4";"Mi";"12:00";"13:00";"60";"Mittagsruhe";"";"";"";""
"H01";"4";"Mi";"13:00";"13:15";"15";"Fahrt";"";"";"Dübendorf";""
"H01";"4";"Mi";"13:15";"14:09";"54";"Einsatz";"UR";"WSG-046";"Dübendorf";"Entsorgung/Kehrichtdienst, Umgebungsunterhalt (Wege/Vorplatz), Unterhaltsreinigung"
"H01";"4";"Do";"07:00";"08:17";"77";"Einsatz";"GU+TH+UR";"WSG-095";"Wallisellen";"Gartenpflege/Gruenunterhalt (Mrz-Nov), Technischer Hauswart (Kontrollgang/Kleinreparaturen), Umgebungsunterhalt (Wege/Vorplatz), Unterhaltsreinigung"
"H01";"4";"Do";"08:17";"08:25";"8";"Fahrt";"";"";"Dübendorf";""
"H01";"4";"Do";"08:25";"12:00";"215";"Einsatz";"GU+TH+UR";"WSG-044";"Dübendorf";"Entsorgung/Kehrichtdienst, Gartenpflege/Gruenunterhalt (Mrz-Nov), Technischer Hauswart (Kontrollgang/Kleinreparaturen), Treppenhausreinigung, Umgebungsunterhalt (Wege/Vorplatz), Unterhaltsreinigung"
"H01";"4";"Do";"12:00";"13:00";"60";"Mittagsruhe";"";"";"";""
"H01";"4";"Do";"13:00";"17:29";"269";"Einsatz (Forts.)";"GU+TH+UR";"WSG-044";"Dübendorf";"Entsorgung/Kehrichtdienst, Gartenpflege/Gruenunterhalt (Mrz-Nov), Technischer Hauswart (Kontrollgang/Kleinreparaturen), Treppenhausreinigung, Umgebungsunterhalt (Wege/Vorplatz), Unterhaltsreinigung"
"H01";"4";"Fr";"07:00";"08:37";"97";"Einsatz";"GU+TH+UR";"WSG-094";"Wallisellen";"Gartenpflege/Gruenunterhalt (Mrz-Nov), Technischer Hauswart (Kontrollgang/Kleinreparaturen), Treppenhausreinigung, Umgebungsunterhalt (Wege/Vorplatz), Unterhaltsreinigung"
"H01";"4";"Fr";"08:37";"08:45";"8";"Fahrt";"";"";"Dübendorf";""
"H01";"4";"Fr";"08:45";"12:00";"195";"Einsatz";"GU+TH+UR";"WSG-043";"Dübendorf";"Entsorgung/Kehrichtdienst, Gartenpflege/Gruenunterhalt (Mrz-Nov), Technischer Hauswart (Kontrollgang/Kleinreparaturen), Treppenhausreinigung, Umgebungsunterhalt (Wege/Vorplatz), Unterhaltsreinigung"
"H01";"4";"Fr";"12:00";"13:00";"60";"Mittagsruhe";"";"";"";""
"H01";"4";"Fr";"13:00";"17:20";"260";"Einsatz (Forts.)";"GU+TH+UR";"WSG-043";"Dübendorf";"Entsorgung/Kehrichtdienst, Gartenpflege/Gruenunterhalt (Mrz-Nov), Technischer Hauswart (Kontrollgang/Kleinreparaturen), Treppenhausreinigung, Umgebungsunterhalt (Wege/Vorplatz), Unterhaltsreinigung"
"H02";"1";"Mo";"07:00";"07:50";"50";"Prep Homebase";"";"WSG-HB";"Kloten";"Material laden / Woche ruesten"
"H02";"1";"Mo";"07:50";"08:28";"38";"Fahrt";"";"";"Uster";""
"H02";"1";"Mo";"08:28";"09:24";"56";"Einsatz";"GU+UR";"WSG-081";"Uster";"Gartenpflege/Gruenunterhalt (Mrz-Nov), Umgebungsunterhalt (Wege/Vorplatz), Unterhaltsreinigung"
"H02";"1";"Mo";"09:24";"09:25";"1";"Fahrt";"";"";"Uster";""
"H02";"1";"Mo";"09:25";"10:49";"84";"Einsatz";"GU+TH+UR";"WSG-080";"Uster";"Gartenpflege/Gruenunterhalt (Mrz-Nov), Technischer Hauswart (Kontrollgang/Kleinreparaturen), Umgebungsunterhalt (Wege/Vorplatz), Unterhaltsreinigung"
"H02";"1";"Mo";"10:49";"11:02";"13";"Fahrt";"";"";"Pfäffikon";""
"H02";"1";"Mo";"11:02";"12:00";"58";"Einsatz";"SR+UR";"WSG-061";"Pfäffikon";"Sanitaerreinigung, Tiefgaragenreinigung, Treppenhausreinigung, Umgebungsunterhalt (Wege/Vorplatz), Unterhaltsreinigung"
"H02";"1";"Mo";"12:00";"13:00";"60";"Mittagsruhe";"";"";"";""
"H02";"1";"Mo";"13:00";"16:28";"208";"Einsatz (Forts.)";"SR+UR";"WSG-061";"Pfäffikon";"Sanitaerreinigung, Tiefgaragenreinigung, Treppenhausreinigung, Umgebungsunterhalt (Wege/Vorplatz), Unterhaltsreinigung"
"H02";"1";"Mo";"16:28";"16:40";"12";"Fahrt";"";"";"Wetzikon (ZH)";""
"H02";"1";"Mo";"16:40";"18:03";"83";"Einsatz";"GU+TH+UR";"WSG-099";"Wetzikon (ZH)";"Gartenpflege/Gruenunterhalt (Mrz-Nov), Technischer Hauswart (Kontrollgang/Kleinreparaturen), Umgebungsunterhalt (Wege/Vorplatz), Unterhaltsreinigung"
"H02";"1";"Di";"07:00";"07:56";"56";"Einsatz";"GU+UR";"WSG-079";"Uster";"Gartenpflege/Gruenunterhalt (Mrz-Nov), Umgebungsunterhalt (Wege/Vorplatz), Unterhaltsreinigung"
"H02";"1";"Di";"07:56";"08:08";"12";"Fahrt";"";"";"Pfäffikon";""
"H02";"1";"Di";"08:08";"11:04";"176";"Einsatz";"GU+TH+UR";"WSG-062";"Pfäffikon";"Entsorgung/Kehrichtdienst, Gartenpflege/Gruenunterhalt (Mrz-Nov), Sanitaerreinigung, Technischer Hauswart (Kontrollgang/Kleinreparaturen), Treppenhausreinigung, Umgebungsunterhalt (Wege/Vorplatz), Unterhaltsreinigung"
"H02";"1";"Di";"11:04";"11:05";"1";"Fahrt";"";"";"Pfäffikon";""
"H02";"1";"Di";"11:05";"12:00";"55";"Einsatz";"UR";"WSG-061";"Pfäffikon";"Sanitaerreinigung, Treppenhausreinigung, Umgebungsunterhalt (Wege/Vorplatz), Unterhaltsreinigung"
"H02";"1";"Di";"12:00";"13:00";"60";"Mittagsruhe";"";"";"";""
